address,points,boost
0xe4919F56D26242F59DF973FA1FBd1c3004A94627,2123.5,0.1
0x65f6368eb18D4A200C3d04C264014117A9c5744F,2112.81,0.375
0x14B3434B79DcF98a10376833Fd4BF8783059aCb6,2112.45,0.375
0xF8DEaC47534FD49f3635c38D76c13e1a79Ae691c,2066.93,0.375
0x9E06Ff44001F71c87Dd1EF65e26EC2db99B342f3,2039.02,0
0x822f3Dd2f23c3Db5e912b9750b75cf5AB1D11641,2034.59,0.375
0x9192067F70f47C53BE2b938099559cfD5d12bACD,2031.24,0.375
0x454D638e4e7C9d94C0e3fEF9c0488A80bB78f718,2022.44,0.375
0x32729f89E60fbB98c58aeC8D2ED339689D798E5b,2019.98,0.375
0x62681B9baBA9fFEF0A72b2CE775e727EF46a734a,1981.73,0
0xfeaFb476aE84775f138E687a0171f77A8a8e9E30,1950.19,0.375
0x33c8f1e6F619778917f2E18495151daCaCc457A5,1939.59,0.1
0xADD1F2F84AC4254a65bb67531f9CB9c4F22f0913,1919.32,0.375
0xCE2D41192B208312fEb2efC70108Cc00c23d2c62,1915.04,0
0xED9337F63870f371100da9F7Fa1934a481EFB64A,1914.93,0.375
0x5598e6596e92ee25158544727Fdd5AA3CF8A4204,1865.97,0
0x23F5D21f49Ba624E5D04408de6F385d525B63123,1865.36,0
0xFEB8baC57bc7C3dCcE15B075e8D73B6d67DAc9B9,1829.68,0
0x4937b18f4Bd4a54580b9616fB2C505C381bc66b6,1800.99,0
0x343CcA52ccF614a3311B068AcFB62B6093e4fde3,1775.7,0.1
0xba727807f83236de388a108A15F39a66089Df330,1758.44,0.1
0x63D31E8c7D01bce4C0EE9112CfB3143Eb1204f59,1752.6,0.1
0x67382b084F30c597413e24d38eC43602ccFeB118,1745.83,0.375
0x0b75014Ec3C90b96336517975e8eA3e24Ab82a85,1727.27,0.375
0xEb06c289475628ac9f2D9c2BcFb72De591C56C8c,1726.34,0.375
0xD2DFA665b941C6F5c66730A3dd40e5E4b9AE8C14,1726.16,0.1
0xe024dAe937b59fc75E7e379F1f406605E516B23d,1724.07,0.375
